		skill_uuid	onet_soc_code	onet_element_id	skill_name	count
886	102057	102057	15-1143.00	43232704	microsoft active directory	465
887	102063	102063	15-1143.00	43233004	microsoft operating system software	1
888	102074	102074	15-1143.00	43232805	multiprotocol label switching mpls	5
889	102097	102097	15-1143.00	43232805	open shortest path first ospf	1
890	102105	102105	15-1143.00	43232701	oracle weblogic	63
891	102118	102118	15-1143.00	43232901	remote access software	18
892	102120	102120	15-1143.00	43233203	risk assessment software	4
893	102127	102127	15-1143.00	43232805	session initiation protocol sip	20
894	102161	102161	15-1143.01	22101803	aerial bucket trucks	1
895	102164	102164	15-1143.01	23241616	cable cutters	6
896	102167	102167	15-1143.01	41113642	circuit testers	4
897	102172	102172	15-1143.01	41113642	continuity testers	1
898	102173	102173	15-1143.01	20111616	digger derricks	91
899	102188	102188	15-1143.01	41112202	infrared thermometers	1
900	102193	102193	15-1143.01	41113630	multimeters	157
901	102194	102194	15-1143.01	27111702	nut drivers	24
902	102196	102196	15-1143.01	41113708	optical power meters	19
903	102200	102200	15-1143.01	27112501	pipe benders	8
904	102201	102201	15-1143.01	41113630	polarity testers	1
905	102202	102202	15-1143.01	27112703	portable drills	2
906	102203	102203	15-1143.01	27112709	power saws	409
907	102207	102207	15-1143.01	23271603	soldering irons	46
908	102213	102213	15-1143.01	24101608	winches	20
909	102214	102214	15-1143.01	41111930	wire locators	6
910	102216	102216	15-1143.01	27113101	wire pullers	1
911	102220	102220	15-1143.01	43233205	antivirus software	316
912	102224	102224	15-1143.01	43231501	call accounting software	2
913	102243	102243	15-1143.01	43231507	project scheduling software	79
914	102244	102244	15-1143.01	43232407	requirements analysis software	15
915	102251	102251	15-1143.01	43232107	web design software	46
916	102265	102265	15-1151.00	41115316	reflectometers	19
917	102282	102282	15-1151.00	43231501	call center software	45
918	102293	102293	15-1151.00	43233415	disaster recovery software	3
919	102312	102312	15-1151.00	43232306	ipro software	2
920	102388	102388	15-1152.00	41113637	cable testers	59
921	102393	102393	15-1152.00	44101501	copy machines	119
922	102421	102421	15-1152.00	43233004	bash	1228
923	102422	102422	15-1152.00	43231507	bentley projectwise	5
924	102424	102424	15-1152.00	43233004	blackberry enterprise server	145
925	102437	102437	15-1152.00	43232915	connectivity software	5
926	102441	102441	15-1152.00	43232801	dig	3961
927	102444	102444	15-1152.00	43233415	emc networker	23
928	102445	102445	15-1152.00	43232907	emc symmetrix dmx	6
929	102459	102459	15-1152.00	43232804	ifconfig	3
930	102462	102462	15-1152.00	43232804	ipconfig	7
931	102472	102472	15-1152.00	43232313	microsoft internet information services iis	11
932	102486	102486	15-1152.00	43232801	nbtstat	2
933	102489	102489	15-1152.00	43232801	netstat	63
934	102491	102491	15-1152.00	43232604	network design software	2
935	102494	102494	15-1152.00	43232801	network monitoring software	17
936	102495	102495	15-1152.00	43233203	network security software	7
937	102496	102496	15-1152.00	43232801	ngrep	1
938	102499	102499	15-1152.00	43232704	novell edirectory	14
939	102500	102500	15-1152.00	43232801	nslookup	4
940	102505	102505	15-1152.00	43232801	packet analyzers	29
941	102516	102516	15-1152.00	43232801	route	95715
942	102528	102528	15-1152.00	43232801	traceroute	27
943	102553	102553	15-1199.01	43232402	apache ant	26
944	102562	102562	15-1199.01	43232312	apache webserver	4
945	102567	102567	15-1199.01	43231507	atlassian jira	17
946	102569	102569	15-1199.01	43232406	borland silktest	1
947	102570	102570	15-1199.01	43232406	bugzilla	314
948	102577	102577	15-1199.01	43232402	cruisecontrol	64
949	102588	102588	15-1199.01	43232406	filemon	29
950	102590	102590	15-1199.01	43232406	fitnesse	151
951	102641	102641	15-1199.01	43232406	nunit	151
952	102655	102655	15-1199.01	43232406	regmon	2
953	102668	102668	15-1199.01	43232406	testng	140
954	102671	102671	15-1199.01	43232201	twiki	3
955	102674	102674	15-1199.01	43232701	vmware esx server	21
956	102675	102675	15-1199.01	43233004	vmware workstation	15
957	102676	102676	15-1199.01	43232406	watir	159
958	102682	102682	15-1199.02	43211501	blade servers	69
959	102689	102689	15-1199.02	43201813	mass storage devices	2
960	102690	102690	15-1199.02	43201513	motherboards	72
961	102716	102716	15-1199.02	43232313	bea tuxedo	7
962	102743	102743	15-1199.02	43232408	grails	746
963	102744	102744	15-1199.02	43232408	groovy	950
964	102754	102754	15-1199.02	43232304	ibm infosphere information server	6
965	102758	102758	15-1199.02	43232402	ibm rational application developer	4
966	102759	102759	15-1199.02	43232401	ibm rational build forge	2
967	102836	102836	15-1199.02	43232405	spring	9857
968	102858	102858	15-1199.02	43232306	xquery	84
969	102885	102885	15-1199.03	43233203	ca siteminder	50
970	102896	102896	15-1199.03	43232107	exacttarget software	3
971	102906	102906	15-1199.03	43232408	joomla	695
972	102916	102916	15-1199.03	43232704	microsoft dns server	1
973	102918	102918	15-1199.03	43233501	microsoft exchange	885
974	102927	102927	15-1199.03	43232701	microsoft virtual server	6
975	102950	102950	15-1199.03	43232908	router software	10
976	102952	102952	15-1199.03	43232005	sony sound forge	9
977	102954	102954	15-1199.03	43233205	ssl	794
978	102961	102961	15-1199.03	43232201	vignette content management	6
979	102964	102964	15-1199.03	43232605	webtrends analytics	9
980	102990	102990	15-1199.04	43232701	esri arcsde	8
981	103029	103029	15-1199.05	43211711	digitizers	4
982	103038	103038	15-1199.05	43212107	plotters	72
983	103044	103044	15-1199.05	43232604	autodesk land desktop	5
984	103057	103057	15-1199.05	43233506	esri arcims	1
985	103062	103062	15-1199.05	43233506	gis software	99
986	103085	103085	15-1199.05	43232304	relational database management system rdms	2
987	103107	103107	15-1199.06	43233004	c shell	131
988	103126	103126	15-1199.06	43232202	ibm content manager	4
989	103131	103131	15-1199.06	43232310	ibm rational system architect	2
990	103134	103134	15-1199.06	43232310	informatica powercenter	41
991	103137	103137	15-1199.06	43232403	jitterbit	3
992	103155	103155	15-1199.06	43232304	multidimensional expressions mdx	1
993	103162	103162	15-1199.06	43232403	oracle data integrator	102
994	103165	103165	15-1199.06	43232304	oracle golden gate	2
995	103167	103167	15-1199.06	43232402	oracle jdeveloper	46
996	103171	103171	15-1199.06	43233415	oracle recovery manager	4
997	103174	103174	15-1199.06	43232310	pentaho kettle	2
998	103175	103175	15-1199.06	43233004	perl shell	477
999	103192	103192	15-1199.06	43232403	sas data integration studio	4
1000	103194	103194	15-1199.06	43232310	scriptella	2
1001	103201	103201	15-1199.06	43232403	talend open studio	3
1002	103209	103209	15-1199.07	43211502	data warehouse appliances	1
1003	103280	103280	15-1199.07	43232310	oracle warehouse builder	19
1004	103290	103290	15-1199.07	43232304	sand	367
1005	103310	103310	15-1199.07	43232306	teradata bteq	3
1006	103313	103313	15-1199.07	43232307	teradata fastload	1
1007	103347	103347	15-1199.08	43232307	data warehouse software	1
1008	103402	103402	15-1199.08	43232306	oracle essbase	42
1009	103460	103460	15-1199.09	43232402	anthillpro	9
1010	103470	103470	15-1199.09	43231507	attask	21
1011	103484	103484	15-1199.09	43231507	clarizen	4
1012	103488	103488	15-1199.09	43232203	continuous integration software	6
1013	103563	103563	15-1199.09	43232402	microsoft visual studio team foundation server	7
1014	103597	103597	15-1199.09	43232306	planisware	6
1015	103603	103603	15-1199.09	43231602	project portfolio management ppm software	1
1016	103615	103615	15-1199.09	43231507	redmine	58
1017	103617	103617	15-1199.09	43233511	resource management software	98
1018	103624	103624	15-1199.09	43231507	siemens teamcenter	5
1019	103626	103626	15-1199.09	43231507	smartsheet	6
1020	103652	103652	15-1199.09	43231507	wrike	3
1021	103663	103663	15-1199.10	43232408	aspx	31
1022	103668	103668	15-1199.10	43232314	conductor searchlight	1
1023	103669	103669	15-1199.10	43232303	customer information databases	1
1024	103676	103676	15-1199.10	43232107	google webmaster tools	33
1025	103682	103682	15-1199.10	43232408	majestic seo	10
1026	103684	103684	15-1199.10	43232306	microsoft bing	9
1027	103699	103699	15-1199.10	43232309	pinterest	415
1028	103703	103703	15-1199.10	43232408	seomoz	53
1029	103711	103711	15-1199.11	45111901	audioconferencing systems	1
1030	103720	103720	15-1199.11	43232402	actionscript	2576
1031	103727	103727	15-1199.11	43232103	autodesk 3ds max	4
1032	103728	103728	15-1199.11	43232102	autodesk maya	27
1033	103738	103738	15-1199.11	43232405	lua	115
1034	103741	103741	15-1199.11	43232404	microsoft expression blend	5
1035	103752	103752	15-1199.11	43232102	opengl	612
1036	103755	103755	15-1199.11	43232310	perforce software	6
1037	103767	103767	15-1199.12	43211501	content servers	3
1038	103780	103780	15-1199.12	43232202	autonomy imanage worksite	4
1039	103790	103790	15-1199.12	43232202	document imaging software	7
1040	103795	103795	15-1199.12	43232202	emc documentum	70
1041	103838	103838	15-1199.12	43232402	oracle sql developer	11
1042	103839	103839	15-1199.12	43232202	oracle universal content management	1
1043	103848	103848	15-1199.12	43232202	sap dms	2
1044	103852	103852	15-1199.12	43232202	springcm	1
1045	103853	103853	15-1199.12	43232202	systemware	1
1046	103868	103868	15-2011.00	43231604	appraisal software	14
1047	103875	103875	15-2011.00	43231604	ggy axis	1
1048	103912	103912	15-2021.00	43232605	algae	8
1049	103913	103913	15-2021.00	43232605	ampl	2
1050	103919	103919	15-2021.00	43232605	auto	293496
1051	103920	103920	15-2021.00	43232605	aztec	6
1052	103945	103945	15-2021.00	43232605	magma	20
1053	103948	103948	15-2021.00	43232605	maxima	47
1054	103971	103971	15-2021.00	43232605	sage	37188
1055	103973	103973	15-2021.00	43232605	shazam	4
1056	103974	103974	15-2021.00	43232605	spss amos	1
1057	104053	104053	15-2031.00	43232605	telelogic system architect	1
1058	104094	104094	15-2041.00	43232307	sas enterprise miner	13
1059	104148	104148	15-2041.01	43232306	patient monitoring systems	2
1060	104169	104169	15-2041.02	43232610	allscripts	5835
1061	104173	104173	15-2041.02	43232306	clinical trial management software	3
1062	104221	104221	15-2091.00	43232605	calculator software	1
1063	104224	104224	15-2091.00	43232605	derive	199
1064	104249	104249	17-1011.00	44111803	compasses	6
1065	104254	104254	17-1011.00	23101506	disk grinding machines	4
1066	104255	104255	17-1011.00	44111803	dividers	11
1067	104256	104256	17-1011.00	44101501	engineering copiers	1
1068	104258	104258	17-1011.00	27111508	hand saws	13
1069	104262	104262	17-1011.00	27111807	parallel bars	1
1070	104270	104270	17-1011.00	44111810	triangles	2
1071	104361	104361	17-1021.00	44111812	drafting instruments	1
1072	104379	104379	17-1021.00	44111806	protractors	31
1073	104380	104380	17-1021.00	41115201	remote sensing equipment	1
1074	104381	104381	17-1021.00	44111807	scales	685
1075	104384	104384	17-1021.00	44111809	templates	2217
1076	104389	104389	17-1021.00	43211501	windows servers	528
1077	104396	104396	17-1021.00	43232102	aldus freehand	1
1078	104415	104415	17-1021.00	43232605	image analysis software	15
1079	104416	104416	17-1021.00	43232102	image processing software	11
1080	104447	104447	17-1022.00	41111614	altimeters	2
1081	104466	104466	17-1022.00	27111802	hand levels	22
1082	104482	104482	17-1022.00	27111804	plumb bobs	12
1083	104490	104490	17-1022.00	41114204	robotic total stations	9
1084	104505	104505	17-1022.00	56101536	tripods	3
1085	104517	104517	17-1022.00	43233506	carlson survey	1
1086	104522	104522	17-1022.00	43233402	cyclone	4022
1087	104524	104524	17-1022.00	43232202	data transfer software	2
1088	104525	104525	17-1022.00	43233506	drafting software	122
1089	104556	104556	17-1022.01	41114203	alidades	2
1090	104568	104568	17-1022.01	27111802	laser levels	1
1091	104574	104574	17-1022.01	27111605	picks	577
1092	104578	104578	17-1022.01	27112004	shovels	490
1093	104611	104611	17-2011.00	41115302	anechoic chambers	1
1094	104617	104617	17-2011.00	27112704	centerless grinders	20
1095	104627	104627	17-2011.00	25201604	flight management systems fms	2
1096	104628	104628	17-2011.00	25191504	flight simulators	2
1097	104629	104629	17-2011.00	41112501	flow meters	66
1098	104630	104630	17-2011.00	41111934	force transducers	2
1099	104631	104631	17-2011.00	27131502	impact guns	1
1100	104637	104637	17-2011.00	23242304	lathes	1894
1101	104638	104638	17-2011.00	41114613	load frames	5
1102	104649	104649	17-2011.00	41115320	signal generators	229
1103	104654	104654	17-2011.00	41111804	ultrasonic inspection equipment	3
1104	104658	104658	17-2011.00	41103312	viscometers	35
1105	104660	104660	17-2011.00	23271406	welders	1526
1106	104666	104666	17-2011.00	43232605	ansys software	5
1107	104670	104670	17-2011.00	43232605	computational fluid dynamics cfd software	2
1108	104677	104677	17-2011.00	43232605	data acquisition systems	227
1109	104689	104689	17-2011.00	43232407	ibm rational doors	21
1110	104716	104716	17-2011.00	43232605	stress analysis software	3
1111	104722	104722	17-2011.00	43232605	thermal analysis software	3
1112	104751	104751	17-2031.00	41113639	accelerometers	123
1113	104756	104756	17-2031.00	60104801	arbitrary waveform generators	102
1114	104769	104769	17-2031.00	41103903	centrifuges	59
1115	104770	104770	17-2031.00	41113642	circuit analyzers	2
1116	104777	104777	17-2031.00	41114501	dynamometers	23
1117	104789	104789	17-2031.00	41103309	flow control devices	1
1118	104792	104792	17-2031.00	41112403	force platforms	1
1119	104805	104805	17-2031.00	41104402	incubators	16
1120	104808	104808	17-2031.00	32101522	isolators	9
1121	104817	104817	17-2031.00	32101628	microcontrollers	282
1122	104822	104822	17-2031.00	41113037	microplate readers	2
1123	104827	104827	17-2031.00	23101513	milling machines	456
1124	104840	104840	17-2031.00	41113638	oscilloscopes	781
1125	104849	104849	17-2031.00	23151504	plastic injection molding machines	8
1126	104857	104857	17-2031.00	41111927	pressure sensors	39
1127	104858	104858	17-2031.00	41112107	pressure transducers	39
1128	104861	104861	17-2031.00	42181801	pulse oximeters	1
1129	104878	104878	17-2031.00	41111605	strain gauges	18
1130	104891	104891	17-2031.00	42201815	x ray machines	5
1131	104901	104901	17-2031.00	43232605	calibration software	48
1132	104902	104902	17-2031.00	43232105	charting software	31
1133	104903	104903	17-2031.00	43232605	circuit simulation software	4
1134	104918	104918	17-2031.00	43231602	erp software	2464
1135	104931	104931	17-2031.00	43232402	hardware description language hdl	1
1136	104933	104933	17-2031.00	43232605	human modeling software	4
1137	104939	104939	17-2031.00	43232610	instrument control software	3
1138	104946	104946	17-2031.00	43232610	medical imaging software	1
1139	104960	104960	17-2031.00	43232605	numerical analysis software	16
1140	104963	104963	17-2031.00	43232605	preventive maintenance software	5
1141	104968	104968	17-2031.00	43232612	rapid prototyping software	6
1142	104982	104982	17-2031.00	43232605	test automation software	13
1143	104991	104991	17-2041.00	41103801	agitators	46
1144	104995	104995	17-2041.00	41113102	catalytic reactors	1
1145	104997	104997	17-2041.00	41104812	distillation columns	26
1146	104999	104999	17-2041.00	41104925	filtration systems	640
1147	105001	105001	17-2041.00	40101802	heat exchangers	550
1148	105003	105003	17-2041.00	23151807	lyophilizers	7
1149	105005	105005	17-2041.00	24111809	mixing tanks	6
1150	105011	105011	17-2041.00	46181804	safety goggles	33
1151	105014	105014	17-2041.00	40151502	vacuum pumps	67
1152	105016	105016	17-2041.00	40161702	wet scrubbers	3
1153	105058	105058	17-2041.00	43232605	minitab	1400
1154	105072	105072	17-2051.00	41114401	anemometers	2
1155	105087	105087	17-2051.00	27111802	precision levels	4
1156	105095	105095	17-2051.00	41114204	theodolites	5
1157	105096	105096	17-2051.00	41111623	thickness gauges	7
1158	105098	105098	17-2051.00	41111902	traffic counters	1
1159	105101	105101	17-2051.00	43232605	abaqus software	3
1160	105112	105112	17-2051.00	43232604	bridge design software	25
1161	105131	105131	17-2051.00	43232605	hydraulic modeling software	9
1162	105206	105206	17-2061.00	41111617	feeler gauges	29
1163	105207	105207	17-2061.00	41115304	frequency counters	27
1164	105208	105208	17-2061.00	41115320	function generators	38
1165	105210	105210	17-2061.00	41113604	inductance capacitance resistance lcr meters	1
1166	105215	105215	17-2061.00	41111905	logic probes	3
1167	105219	105219	17-2061.00	41115320	pattern generators	1
1168	105222	105222	17-2061.00	41113708	power sensors	1
1169	105224	105224	17-2061.00	41111905	probe stations	1
1170	105227	105227	17-2061.00	41113636	pulse generators	12
1171	105228	105228	17-2061.00	41113635	resistance meters	2
1172	105233	105233	17-2061.00	41103412	thermal chambers	18
1173	105234	105234	17-2061.00	41113711	traffic generators	51
1174	105237	105237	17-2061.00	60104801	waveform generators	106
1175	105238	105238	17-2061.00	43232604	allegro software	3
1176	105249	105249	17-2061.00	43232604	cadence concept	18
1177	105253	105253	17-2061.00	43232604	cadence orcad	10
1178	105254	105254	17-2061.00	43232605	cadence pspice	2
1179	105262	105262	17-2061.00	43232605	computer simulation software	1
1180	105281	105281	17-2061.00	43232605	magic	3203
1181	105286	105286	17-2061.00	43232605	mentor graphics calibre	5
1182	105301	105301	17-2061.00	43232604	parthenon	1
1183	105311	105311	17-2061.00	43232405	skill	98103
1184	105312	105312	17-2061.00	43232605	softice	32
1185	105316	105316	17-2061.00	43232605	synopsys design compiler	3
1186	105319	105319	17-2061.00	43232605	synopsys hspice	6
1187	105322	105322	17-2061.00	43232402	systemverilog	389
1188	105337	105337	17-2061.00	43232605	verification software	14
1189	105341	105341	17-2061.00	43232406	windows kernel debuggers	1
1190	105344	105344	17-2061.00	43232604	xilinx modelsim	2
1191	105353	105353	17-2071.00	41104609	diffusion furnaces	8
1192	105366	105366	17-2071.00	41113647	frequency drives	341
1193	105367	105367	17-2071.00	41103406	glove box systems	1
1194	105379	105379	17-2071.00	41113638	mixed signal oscilloscopes	8
1195	105383	105383	17-2071.00	41115305	noise figure meters	3
1196	105389	105389	17-2071.00	23211101	photolithography equipment	4
1197	105398	105398	17-2071.00	41112204	pyrometers	13
1198	105405	105405	17-2071.00	41113647	signal analyzers	33
1199	105410	105410	17-2071.00	41122401	spinners	4
1200	105413	105413	17-2071.00	41112206	thermocouples	134
1201	105417	105417	17-2071.00	23211101	vacuum chambers	18
1202	105419	105419	17-2071.00	41115320	vector signal generators	103
1203	105420	105420	17-2071.00	41104603	vertical furnaces	13
1204	105456	105456	17-2071.00	43232605	etap software	7
1205	105479	105479	17-2071.00	43232605	mentor graphics modelsim	10
1206	105499	105499	17-2071.00	43232604	printed circuit board design software	2
1207	105504	105504	17-2071.00	43232605	reliability analysis software	1
1208	105512	105512	17-2071.00	43232605	synopsis design compiler	4
1209	105513	105513	17-2071.00	43232605	synopsys primetime	1
1210	105524	105524	17-2071.00	43232608	wonderware intouch hmi	1
1211	105535	105535	17-2072.00	32101626	microprocessors	270
1212	105539	105539	17-2072.00	41115311	photometers	1
1213	105542	105542	17-2072.00	41115301	wave meters	1
1214	105560	105560	17-2072.00	43232604	mentor graphics pads	8
1215	105602	105602	17-2072.01	43232406	abbot	1
1216	105605	105605	17-2072.01	43232604	cadence software	2
1217	105606	105606	17-2072.01	43232406	cppunit	55
1218	105607	105607	17-2072.01	43233004	cygwin	46
1219	105609	105609	17-2072.01	43233405	device driver software	3
1220	105620	105620	17-2072.01	43232304	microsoft sql server compact	1
1221	105627	105627	17-2072.01	43233004	microsoft windows mobile	2
1222	105633	105633	17-2072.01	43232406	robot framework	8
1223	105652	105652	17-2081.00	42281508	autoclaves	28
1224	105653	105653	17-2081.00	41115602	automatic titrators	1
1225	105654	105654	17-2081.00	41111502	balances	4691
1226	105661	105661	17-2081.00	41115318	colorimeters	3
1227	105663	105663	17-2081.00	41115609	conductivity meters	2
1228	105669	105669	17-2081.00	40151508	electric pumps	4
1229	105678	105678	17-2081.00	41104701	freeze dryers	1
1230	105679	105679	17-2081.00	41103502	fume hoods	10
1231	105681	105681	17-2081.00	41112508	gas meters	7
1232	105691	105691	17-2081.00	41115704	ion chromatographs	1
1233	105699	105699	17-2081.00	41115311	luminometers	1
1234	105710	105710	17-2081.00	41113315	organic carbon analyzers	1
1235	105712	105712	17-2081.00	41111902	particle counters	19
1236	105713	105713	17-2081.00	40161506	particulate filters	16
1237	105714	105714	17-2081.00	41115603	ph meters	22
1238	105720	105720	17-2081.00	41104009	sampling pumps	1
1239	105724	105724	17-2081.00	41103811	shakers	51
1240	105735	105735	17-2081.00	41113103	surface area analyzers	1
1241	105744	105744	17-2081.00	41114303	water level recorders	3
1242	105747	105747	17-2081.00	43232605	air dispersion modeling software	3
1243	105795	105795	17-2081.00	43232605	waste management software	2
1244	105818	105818	17-2081.01	43232705	google chrome	179
1245	105853	105853	17-2111.01	41111934	force gauges	8
1246	105856	105856	17-2111.01	42181903	heart rate monitors	1
1247	105860	105860	17-2111.01	41111912	inclinometers	1
1248	105877	105877	17-2111.01	41113633	potentiometers	8
1249	105887	105887	17-2111.01	41115503	sound level meters	2
1250	105892	105892	17-2111.01	41111934	torque gauges	1
1251	105901	105901	17-2111.01	43232606	compliance software	106
1252	105933	105933	17-2111.01	43232605	quantitative analysis software	1
1253	105944	105944	17-2111.01	43232605	vibration analysis software	16
1254	105957	105957	17-2111.02	32131001	heat sinks	25
1255	105961	105961	17-2111.02	41112108	load cells	53
1256	105965	105965	17-2111.02	31241807	optical filters	1
1257	105999	105999	17-2111.02	43232605	data acquisition software	22
1258	106015	106015	17-2111.02	43232605	jet	389
1259	106054	106054	17-2111.03	41116401	impact hammers	26
1260	106062	106062	17-2111.03	41113631	ohmmeters	37
1261	106063	106063	17-2111.03	41113702	optical comparators	111
1262	106084	106084	17-2111.03	41113637	voltmeters	178
1263	106116	106116	17-2112.00	32101629	audio amplifiers	4
1264	106122	106122	17-2112.00	41111920	coordinate measuring machines cmm	17
1265	106126	106126	17-2112.00	41104501	environmental ovens	1
1266	106129	106129	17-2112.00	41114611	hardness testers	51
1267	106132	106132	17-2112.00	26101304	hydraulic power units	21
1268	106133	106133	17-2112.00	27121502	hydraulic presses	41
1269	106138	106138	17-2112.00	26111527	motion control systems	78
1270	106151	106151	17-2112.00	60104814	radiometers	1
1271	106157	106157	17-2112.00	41114621	tensile testers	5
1272	106161	106161	17-2112.00	32101625	variable frequency drives vfd	11
1273	106166	106166	17-2112.00	43232608	allen bradley panelview	5
1274	106176	106176	17-2112.00	43231511	decision support software	7
1275	106191	106191	17-2112.00	43232605	ilog cplex	1
1276	106220	106220	17-2112.00	43231508	oracle retek	3
1277	106223	106223	17-2112.00	43231507	process reengineering software	2
1278	106229	106229	17-2112.00	43232608	quality control software	2
1279	106230	106230	17-2112.00	43232608	robotic control software	3
1280	106231	106231	17-2112.00	43232605	robotic simulation software	1
1281	106233	106233	17-2112.00	43232406	rockwell rslogix	15
1282	106249	106249	17-2112.00	43232406	user interface design software	12
1283	106250	106250	17-2112.00	43231508	warehouse management software	20
1284	106254	106254	17-2112.00	43231507	yield management systems	2
1285	106286	106286	17-2112.01	52161520	microphones	100
1286	106296	106296	17-2112.01	43211903	touch screen monitors	1
1287	106356	106356	17-2121.01	43232605	ansys fluent	15
1288	106377	106377	17-2121.01	43232604	shipconstructor	97
1289	106422	106422	17-2131.00	41113601	ammeters	22
1290	106423	106423	17-2131.00	41111517	analytical balances	15
1291	106427	106427	17-2131.00	41101701	ball mills	9
1292	106429	106429	17-2131.00	23241509	band saws	178
1293	106432	106432	17-2131.00	41112201	calorimeters	3
1294	106433	106433	17-2131.00	22101902	cement mixers	4
1295	106451	106451	17-2131.00	41104510	drying ovens	2
1296	106452	106452	17-2131.00	41114611	durometers	2
1297	106459	106459	17-2131.00	41114503	extensometers	10
1298	106462	106462	17-2131.00	40161506	filter presses	1
1299	106470	106470	17-2131.00	41111809	gas detectors	36
1300	106481	106481	17-2131.00	23153018	holding jigs	2
1301	106488	106488	17-2131.00	23151504	injection molding machines	95
1302	106491	106491	17-2131.00	20101706	jaw crushers	2
1303	106500	106500	17-2131.00	44102801	laminators	7
1304	106507	106507	17-2131.00	41105001	magnetic separators	1
1305	106521	106521	17-2131.00	41115408	optical emission spectrometers	2
1306	106523	106523	17-2131.00	41101809	particle size analyzers	3
1307	106539	106539	17-2131.00	41101705	sample presses	2
1308	106540	106540	17-2131.00	27131507	sanding machines	1
1309	106555	106555	17-2131.00	41111703	stereo microscopes	2
1310	106564	106564	17-2131.00	23191102	twin screw extruders	2
1311	106571	106571	17-2131.00	23151705	vacuum coating systems	3
1312	106573	106573	17-2131.00	41104509	vacuum furnaces	1
1313	106574	106574	17-2131.00	41114624	vibration analysis equipment	2
1314	106575	106575	17-2131.00	41103312	viscosity meters	24
1315	106578	106578	17-2131.00	41112516	wind tunnels	10
1316	106615	106615	17-2141.00	40151601	air compressors	437
1317	106617	106617	17-2141.00	32101631	analog to digital converters	2
1318	106627	106627	17-2141.00	32101631	digital to analog converters	3
1319	106632	106632	17-2141.00	23211101	evaporation systems	3
1320	106649	106649	17-2141.00	41112103	optical sensors	9
1321	106669	106669	17-2141.00	26111516	steppers	16
1322	106675	106675	17-2141.00	41111934	torque transducers	14
1323	106682	106682	17-2141.00	45111805	video editing equipment	2
1324	106688	106688	17-2141.00	41111808	x ray tubes	2
1325	106717	106717	17-2141.00	43232402	ladder logic	661
1326	106736	106736	17-2141.00	43232604	optical analysis software	2
1327	106744	106744	17-2141.00	43232604	reverse engineering software	2
1328	106745	106745	17-2141.00	43232402	rockwell software	91
1329	106749	106749	17-2141.00	43232605	statistical energy analysis sea software	2
1330	106754	106754	17-2141.00	43232605	video analysis software	2
1331	106770	106770	17-2141.01	41104605	induction furnaces	2
1332	106779	106779	17-2141.01	23181511	molding presses	40
1333	106782	106782	17-2141.01	41113708	power analyzers	3
1334	106796	106796	17-2141.01	43232605	aspen plus	49
1335	106820	106820	17-2141.02	27112704	bench grinders	5
1336	106829	106829	17-2141.02	41113103	gas analyzers	13
1337	106830	106830	17-2141.02	27112709	horizontal band saws	1
1338	106839	106839	17-2141.02	24101620	overhead cranes	548
1339	106841	106841	17-2141.02	23271404	plasma cutters	17
1340	106846	106846	17-2141.02	23281703	sand blasters	2
1341	106862	106862	17-2141.02	43232604	ansoft software	2
1342	106868	106868	17-2141.02	43232604	autodesk inventor	274
1343	106874	106874	17-2141.02	43232612	cnc mastercam	10
1344	106876	106876	17-2141.02	43232102	corel painter	8
1345	106889	106889	17-2141.02	43232604	ironcad	2
1346	106910	106910	17-2141.02	43232605	somat edaq	9
1347	106965	106965	17-2161.00	46181702	face masks	10
1348	106977	106977	17-2161.00	43232402	follow code	4
1349	107040	107040	17-2199.01	21101805	aerosol generators	1
1350	107066	107066	17-2199.01	23151503	extruders	45
1351	107070	107070	17-2199.01	41115821	flow cytometers	3
1352	107082	107082	17-2199.01	41103504	laminar flow hoods	2
1353	107097	107097	17-2199.01	41115404	quadrupole mass spectrometers	1
1354	107100	107100	17-2199.01	41112502	rheometers	4
1355	107105	107105	17-2199.01	41102421	thermal cyclers	2
1356	107109	107109	17-2199.01	41115406	ultraviolet spectrophotometers	1
1357	107113	107113	17-2199.01	43232605	aspentech hysys	2
1358	107114	107114	17-2199.01	43232604	bioreactor design	1
1359	107125	107125	17-2199.01	43232306	thomson reuters endnote	3
1360	107128	107128	17-2199.02	41111931	flow sensors	2
1361	107133	107133	17-2199.02	41113711	network protocol analyzers	14
1362	107144	107144	17-2199.02	43232203	apache subversion	15
1363	107154	107154	17-2199.02	43232203	git	2172
1364	107187	107187	17-2199.02	43232306	structure query language sql	6
1365	107255	107255	17-2199.04	44101808	scientific calculators	2
1366	107281	107281	17-2199.04	43231507	solidworks enterprise pdm	3
1367	107283	107283	17-2199.05	23241509	bandsaws	4
1368	107293	107293	17-2199.05	27112704	power grinders	4
1369	107307	107307	17-2199.05	43232406	debuggers	253
1370	107309	107309	17-2199.05	43232202	dspace	71
1371	107312	107312	17-2199.05	43232402	ibm rational software	3
1372	107323	107323	17-2199.05	43232405	modelica	58
1373	107335	107335	17-2199.05	43232402	vector canoe	2
1374	107345	107345	17-2199.06	41113706	curve tracers	1
1375	107358	107358	17-2199.06	41102406	hotplates	2
1376	107360	107360	17-2199.06	41113621	impedance meters	1
1377	107363	107363	17-2199.06	41111709	inspection microscopes	10
1378	107379	107379	17-2199.06	23211101	plasma enhanced chemical vapor deposition pecvd systems	1
1379	107381	107381	17-2199.06	41115312	polarimeters	3
