onet_soc_code	occupation_title	description	alternate_title
25-2052.00	n/a	n/a	Emotional Disabilities Teacher
25-2052.00	n/a	n/a	Hearing Impaired Itinerant Teacher (HI Itinerant Teacher)
25-2052.00	n/a	n/a	Learning Support Teacher
25-2052.00	n/a	n/a	Resource Program Teacher
25-2052.00	n/a	n/a	Severe Emotional Disorders Elementary Teacher (SED Elementary Teacher)
25-2052.00	n/a	n/a	Severe/Profound Mental Handicaps Special Education Teacher
25-2052.00	n/a	n/a	Special Education Inclusion Teacher
25-2052.00	n/a	n/a	Special Education Resource Teacher
25-2052.00	n/a	n/a	Special Education Teacher
25-2053.00	Special Education Teachers, Middle School	Teach middle school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.	n/a
25-2053.00	n/a	n/a	BD Special Education Teacher (Behavioral Disorders Special Education Teacher)
25-2053.00	n/a	n/a	Behavior Specialist
25-2053.00	n/a	n/a	Behaviorally-Emotionally Disabled Teacher (BED Teacher)
25-2053.00	n/a	n/a	Blind Teacher
25-2053.00	n/a	n/a	Braille Teacher
25-2053.00	n/a	n/a	Deaf Teacher
25-2053.00	n/a	n/a	Early Intervention Specialist
25-2053.00	n/a	n/a	EBD Special Education Teacher (Emotional-Behavioral Disabilities Special Education Teacher)
25-2053.00	n/a	n/a	ED Special Education Teacher (Emotional Disabilities Special Education Teacher)
25-2053.00	n/a	n/a	Educational Resource Center Teacher (ERC Teacher)
25-2053.00	n/a	n/a	Educational Specialist
25-2053.00	n/a	n/a	EMD Teacher (Educable Mentally Disabled Teacher)
25-2053.00	n/a	n/a	Emotionally Impaired Teacher
25-2053.00	n/a	n/a	Exceptional Children Teacher (EC Teacher)
25-2053.00	n/a	n/a	Exceptional Student Education Teacher (ESE Teacher)
25-2053.00	n/a	n/a	Functional Mental Disability Teacher (FMD Teacher)
25-2053.00	n/a	n/a	Handicapped Teacher
25-2053.00	n/a	n/a	Hearing Impaired Teacher (HI Teacher)
25-2053.00	n/a	n/a	Inclusion Teacher
25-2053.00	n/a	n/a	Individual Education Program Team Leader (IEP Team Leader)
25-2053.00	n/a	n/a	Individual Small Group Instructor
25-2053.00	n/a	n/a	Interrelated Special Education Teacher
25-2053.00	n/a	n/a	Intervention Specialist
25-2053.00	n/a	n/a	Learning and Behavior Disorders Special Education Teacher (LBD Special Education Teacher)
25-2053.00	n/a	n/a	Learning Center Instructor
25-2053.00	n/a	n/a	Learning Disabilities Resource Teacher (LD Resource Teacher)
25-2053.00	n/a	n/a	Learning Disabilities Special Education Teacher
25-2053.00	n/a	n/a	Learning Disabilities Specialist
25-2053.00	n/a	n/a	Learning Disabilities Teacher (LD Teacher)
25-2053.00	n/a	n/a	Learning Disabled Teacher
25-2053.00	n/a	n/a	Learning Support Resource Room Teacher
25-2053.00	n/a	n/a	Learning Support Teacher
25-2053.00	n/a	n/a	Least Restricted Environment Facilitator (LRE Facilitator)
25-2053.00	n/a	n/a	Life Skills Teacher
25-2053.00	n/a	n/a	Lip Reading Teacher
25-2053.00	n/a	n/a	Mentally Impaired Teacher
25-2053.00	n/a	n/a	MID Teacher (Mildly Intellectually Disabled Teacher)
25-2053.00	n/a	n/a	Middle School Resource Teacher
25-2053.00	n/a	n/a	Middle School Special Education Teacher
25-2053.00	n/a	n/a	Middle School Teacher for Students with Moderate Intellectual Disabilities
25-2053.00	n/a	n/a	MMD Unit Teacher (Mild Mental Disability Unit Teacher)
25-2053.00	n/a	n/a	MMI Teacher (Mildly Mentally Impaired Teacher)
25-2053.00	n/a	n/a	MOID Middle School Teacher (Moderately Intellectually Disabled Middle School Teacher)
25-2053.00	n/a	n/a	MOMD Teacher (Moderate Mental Disability Teacher)
25-2053.00	n/a	n/a	MR Teacher (Mentally Retarded Teacher)
25-2053.00	n/a	n/a	NSH Teacher (Non-Severely Handicapped Teacher)
25-2053.00	n/a	n/a	Physically Impaired Teacher
25-2053.00	n/a	n/a	Reading Specialist
25-2053.00	n/a	n/a	Remedial Reading Teacher
25-2053.00	n/a	n/a	Remedial Reading, Math, or Other Subject Teacher
25-2053.00	n/a	n/a	Resource Room Teacher
25-2053.00	n/a	n/a	Resource Specialist Teacher
25-2053.00	n/a	n/a	Resource Teacher
25-2053.00	n/a	n/a	SED Middle School Teacher
25-2053.00	n/a	n/a	SED Special Education Teacher (Severe Emotional Disorders Special Education Teacher)
25-2053.00	n/a	n/a	Self Contained Behavior Unit Teacher
25-2053.00	n/a	n/a	Self-Contained Special Education Teacher
25-2053.00	n/a	n/a	Severe Emotional Disorders Middle School Teacher
25-2053.00	n/a	n/a	Sign Language Teacher
25-2053.00	n/a	n/a	SLD Teacher (Specific Learning Disability Teacher)
25-2053.00	n/a	n/a	SLP Teacher (Speech and Language Pathologist Teacher)
25-2053.00	n/a	n/a	Special Day Class Teacher (SDC Teacher)
25-2053.00	n/a	n/a	Special Day Class Teacher (SPD Teacher)
25-2053.00	n/a	n/a	Special Education Administrator
25-2053.00	n/a	n/a	Special Education Collaborative Program Teacher
25-2053.00	n/a	n/a	Special Education Resource Teacher
25-2053.00	n/a	n/a	Special Education Teacher
25-2053.00	n/a	n/a	Special Educator
25-2053.00	n/a	n/a	Special Needs Teacher
25-2053.00	n/a	n/a	Teacher
25-2053.00	n/a	n/a	Teacher of the Deaf/Hard of Hearing
25-2053.00	n/a	n/a	Teacher of the Emotionally Disturbed
25-2053.00	n/a	n/a	Teacher of the Handicapped
25-2053.00	n/a	n/a	TMD Teacher (Trainable Mentally Disabled Teacher)
25-2053.00	n/a	n/a	TMR Teacher (Trainable Mentally Retarded Teacher)
25-2053.00	n/a	n/a	VE Teacher (Varying Exceptionalities Teacher)
25-2053.00	n/a	n/a	Visually Impaired Teacher
25-2053.00	n/a	n/a	Vocational Trainer
25-2053.00	n/a	n/a	Vocational Training Teacher
25-2053.00	n/a	n/a	Exceptional Children Teacher (EC Teacher)
25-2053.00	n/a	n/a	Exceptional Student Education Teacher (ESE Teacher)
25-2053.00	n/a	n/a	Inclusion Teacher
25-2053.00	n/a	n/a	Intervention Specialist
25-2053.00	n/a	n/a	Learning Support Teacher
25-2053.00	n/a	n/a	Middle School Special Education Teacher
25-2053.00	n/a	n/a	Self-Contained Special Education Teacher
25-2053.00	n/a	n/a	Special Education Resource Teacher
25-2053.00	n/a	n/a	Special Education Teacher
25-2053.00	n/a	n/a	Teacher
25-2054.00	Special Education Teachers, Secondary School	Teach secondary school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.	n/a
25-2054.00	n/a	n/a	Behavior Specialist
25-2054.00	n/a	n/a	Blind Teacher
25-2054.00	n/a	n/a	Braille Teacher
25-2054.00	n/a	n/a	Career and Transition Teacher
25-2054.00	n/a	n/a	Collaborative Teacher
25-2054.00	n/a	n/a	Cross Categorical Special Education Teacher
25-2054.00	n/a	n/a	Deaf Teacher
25-2054.00	n/a	n/a	ED Special Education Teacher (Emotional Disability Special Education Teacher)
25-2054.00	n/a	n/a	EMD Special Education Teacher (Educable Mentally Disabled Special Education Teacher)
25-2054.00	n/a	n/a	Emotional and Behavioral Disorders Teacher (EBD Teacher)
25-2054.00	n/a	n/a	Emotional Disabilities Teacher
25-2054.00	n/a	n/a	Emotional Support Teacher
25-2054.00	n/a	n/a	Emotionally Impaired Teacher
25-2054.00	n/a	n/a	Exceptional Children's Teacher (EC Teacher)
25-2054.00	n/a	n/a	Exceptional Student Education Teacher (ESE Teacher)
25-2054.00	n/a	n/a	Handicapped Teacher
25-2054.00	n/a	n/a	Hearing Impaired Teacher
25-2054.00	n/a	n/a	High School Learning Support Teacher
25-2054.00	n/a	n/a	High School Special Education Teacher
25-2054.00	n/a	n/a	In-Class Special Education Teacher
25-2054.00	n/a	n/a	Inclusion Special Educator
25-2054.00	n/a	n/a	Interrelated Special Education Teacher
25-2054.00	n/a	n/a	Intervention Specialist
25-2054.00	n/a	n/a	Learning Disabilities Resource Teacher (LD Resource Teacher)
25-2054.00	n/a	n/a	Learning Disabilities Special Education Teacher (LD Special Education Teacher)
25-2054.00	n/a	n/a	Learning Disabled Teacher
25-2054.00	n/a	n/a	Learning Specialist
25-2054.00	n/a	n/a	Learning Support Teacher
25-2054.00	n/a	n/a	Life Skills Teacher
25-2054.00	n/a	n/a	Lip Reading Teacher
25-2054.00	n/a	n/a	Mentally Impaired Teacher
25-2054.00	n/a	n/a	Mentally Retarded Teacher
25-2054.00	n/a	n/a	MH Teacher (Mentally Handicapped Teacher)
25-2054.00	n/a	n/a	Mild and Moderate Disabilities Special Education Teacher
25-2054.00	n/a	n/a	Mild Disabilities Teacher
25-2054.00	n/a	n/a	Moderate Needs Teacher
25-2054.00	n/a	n/a	Orthopedically Impaired Teacher (OI Teacher)
25-2054.00	n/a	n/a	Physically Impaired Teacher
25-2054.00	n/a	n/a	Reading Specialist
25-2054.00	n/a	n/a	Remedial Reading, Math, or Other Subject Teacher
25-2054.00	n/a	n/a	Resource Center Teacher
25-2054.00	n/a	n/a	Resource Specialist
25-2054.00	n/a	n/a	Resource Specialist Program Special Education Instructor (RSP Special Education Instructor)
25-2054.00	n/a	n/a	Resource Specialist Teacher
25-2054.00	n/a	n/a	Resource Teacher
25-2054.00	n/a	n/a	Secondary School Special Ed Teacher
25-2054.00	n/a	n/a	Secondary Special Education Teacher
25-2054.00	n/a	n/a	SED High School Teacher
25-2054.00	n/a	n/a	Self Contained Unit Intervention Specialist
25-2054.00	n/a	n/a	Self-Contained Classroom Special Education Teacher
25-2054.00	n/a	n/a	Severe Disabilities Special Education Teacher
25-2054.00	n/a	n/a	Severe Emotional Disorders High School Teacher
25-2054.00	n/a	n/a	Sign Language Teacher
25-2054.00	n/a	n/a	SLD Inclusion Teacher (Specific Learning Disabilities Inclusion Teacher)
25-2054.00	n/a	n/a	Special Day Class Teacher (SDC Teacher)
25-2054.00	n/a	n/a	Special Education Administrator
25-2054.00	n/a	n/a	Special Education Inclusion Teacher
25-2054.00	n/a	n/a	Special Education Instructor
25-2054.00	n/a	n/a	Special Education Itinerant Teacher
25-2054.00	n/a	n/a	Special Education Math Teacher
25-2054.00	n/a	n/a	Special Education Resource Teacher
25-2054.00	n/a	n/a	Special Education Science Teacher
25-2054.00	n/a	n/a	Special Education Teacher
25-2054.00	n/a	n/a	Special Education Work-Study Coordinator
25-2054.00	n/a	n/a	Teacher
25-2054.00	n/a	n/a	Teacher of the Handicapped
25-2054.00	n/a	n/a	TMH Teacher (Trainable Mentally Handicapped Teacher)
25-2054.00	n/a	n/a	Transition Teacher
25-2054.00	n/a	n/a	Various Exceptionalities Teacher
25-2054.00	n/a	n/a	Visually Impaired Teacher
25-2054.00	n/a	n/a	Vocational Trainer
25-2054.00	n/a	n/a	Vocational Training Teacher
25-2054.00	n/a	n/a	Career and Transition Teacher
25-2054.00	n/a	n/a	Exceptional Student Education Teacher (ESE Teacher)
25-2054.00	n/a	n/a	High School Special Education Teacher
25-2054.00	n/a	n/a	Interrelated Special Education Teacher
25-2054.00	n/a	n/a	Learning Disabilities Special Education Teacher (LD Special Education Teacher)
25-2054.00	n/a	n/a	Learning Support Teacher
25-2054.00	n/a	n/a	Resource Teacher
25-2054.00	n/a	n/a	Special Education Resource Teacher
25-2054.00	n/a	n/a	Special Education Teacher
25-2054.00	n/a	n/a	Teacher
25-2059.00	Special Education Teachers, All Other	All special education teachers not listed separately.	n/a
25-2059.00	n/a	n/a	Autism Tutor
25-2059.00	n/a	n/a	Special Education Preschool Teacher
25-2059.00	n/a	n/a	Special Education Teacher for Adults with Disabilities
25-2059.01	Adapted Physical Education Specialists	Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.	n/a
25-2059.01	n/a	n/a	Adapted Physical Education Aide
25-2059.01	n/a	n/a	Adapted Physical Education or Adapted Physical Activity Specialist
25-2059.01	n/a	n/a	Adapted Physical Education Specialist
25-2059.01	n/a	n/a	Adapted Physical Education Specialist-Workshop Leader
25-2059.01	n/a	n/a	Adapted Physical Education Teacher
25-2059.01	n/a	n/a	Adaptive Physical Education Specialist
25-2059.01	n/a	n/a	Adaptive Physical Education Teacher
25-2059.01	n/a	n/a	Adaptive Physical Educator
25-2059.01	n/a	n/a	Autism Motor Specialist
25-2059.01	n/a	n/a	Autism Resource and Education Specialist
25-2059.01	n/a	n/a	Autism Spectrum Disorder Education Specialist
25-2059.01	n/a	n/a	Certified Adapted Physical Educator
25-2059.01	n/a	n/a	Certified Adaptive Physical Educator
25-2059.01	n/a	n/a	Education Specialist
25-2059.01	n/a	n/a	Movement Education Specialist
25-2059.01	n/a	n/a	Physical Education Specialist
25-2059.01	n/a	n/a	Physical Education Teacher
25-2059.01	n/a	n/a	Student Education Specialist
25-2059.01	n/a	n/a	Adapted Physical Education or Adapted Physical Activity Specialist
25-2059.01	n/a	n/a	Adapted Physical Education Specialist
25-2059.01	n/a	n/a	Adapted Physical Education Specialist-Workshop Leader
25-2059.01	n/a	n/a	Adapted Physical Education Teacher
25-2059.01	n/a	n/a	Certified Adapted Physical Educator
25-2059.01	n/a	n/a	Physical Education Teacher
25-3011.00	Adult Basic and Secondary Education and Literacy Teachers and Instructors	Teach or instruct out-of-school youths and adults in remedial education classes, preparatory classes for the General Educational Development test, literacy, or English as a Second Language. Teaching may or may not take place in a traditional educational institution.	n/a
25-3011.00	n/a	n/a	Adult Basic Education Instructor (ABE Instructor)
25-3011.00	n/a	n/a	Adult Basic Education Teacher (ABE Teacher)
25-3011.00	n/a	n/a	Adult Basic Studies Teacher
25-3011.00	n/a	n/a	Adult Education Instructor
25-3011.00	n/a	n/a	Adult Education Teacher
25-3011.00	n/a	n/a	Adult Educator
25-3011.00	n/a	n/a	Adult High School Instructor
25-3011.00	n/a	n/a	Adult Literacy Instructor
25-3011.00	n/a	n/a	Adult Literacy Teacher
25-3011.00	n/a	n/a	Adult Remedial Education Instructor
25-3011.00	n/a	n/a	Adult School Teacher
25-3011.00	n/a	n/a	Adult Secondary Education Instructor
25-3011.00	n/a	n/a	Bilingual Instructor
25-3011.00	n/a	n/a	Bilingual Teacher
25-3011.00	n/a	n/a	Developmental Education Instructor
25-3011.00	n/a	n/a	English as a Second Language Instructor (ESL Instructor)
25-3011.00	n/a	n/a	English Instructor
25-3011.00	n/a	n/a	ESL Teacher (English as a Second Language Teacher)
25-3011.00	n/a	n/a	ESOL Instructor (English for Speakers of Other Languages Instructor)
25-3011.00	n/a	n/a	ESOL Teacher (English for Speakers of Other Languages Teacher)
25-3011.00	n/a	n/a	Family Literacy Coordinator
25-3011.00	n/a	n/a	GED Preparation Teacher (General Educational Development Preparation Teacher)
25-3011.00	n/a	n/a	GED Teacher (General Educational Development Teacher)
25-3011.00	n/a	n/a	General Educational Development Instructor (GED Instructor)
25-3011.00	n/a	n/a	Instructor
25-3011.00	n/a	n/a	Intensive English Program Curriculum Coordinator (IEP Curriculum Coordinator)
25-3011.00	n/a	n/a	Reading Instructor
25-3011.00	n/a	n/a	Reading Specialist
25-3011.00	n/a	n/a	Reading Teacher
25-3011.00	n/a	n/a	Remedial Reading, Math, or Other Subject Teacher
25-3011.00	n/a	n/a	Teacher
25-3011.00	n/a	n/a	Transitional Studies Instructor
25-3011.00	n/a	n/a	Adult Basic Education Instructor (ABE Instructor)
25-3011.00	n/a	n/a	Adult Basic Education Teacher (ABE Teacher)
25-3011.00	n/a	n/a	Adult Education Instructor
25-3011.00	n/a	n/a	Adult Education Teacher
25-3011.00	n/a	n/a	English as a Second Language Instructor (ESL Instructor)
25-3011.00	n/a	n/a	ESL Teacher (English as a Second Language Teacher)
25-3011.00	n/a	n/a	GED Teacher (General Educational Development Teacher)
25-3011.00	n/a	n/a	General Educational Development Instructor (GED Instructor)
25-3011.00	n/a	n/a	Instructor
25-3011.00	n/a	n/a	Teacher
25-3021.00	Self-Enrichment Education Teachers	Teach or instruct courses other than those that normally lead to an occupational objective or degree. Courses may include self-improvement, nonvocational, and nonacademic subjects. Teaching may or may not take place in a traditional educational institution.	n/a
25-3021.00	n/a	n/a	Acting Teacher
25-3021.00	n/a	n/a	Adjunct Professor
25-3021.00	n/a	n/a	Adult Education Instructor
25-3021.00	n/a	n/a	Adult Education Teacher
25-3021.00	n/a	n/a	Adult Educator
25-3021.00	n/a	n/a	Adventure Education Teacher
25-3021.00	n/a	n/a	Americanization Teacher
25-3021.00	n/a	n/a	Art Educator
25-3021.00	n/a	n/a	Art Instructor
25-3021.00	n/a	n/a	Art Teacher
25-3021.00	n/a	n/a	Arts and Crafts Teacher
25-3021.00	n/a	n/a	Athletic Instructor
25-3021.00	n/a	n/a	Athletics Teacher
25-3021.00	n/a	n/a	Ballet Teacher
25-3021.00	n/a	n/a	Baton Teacher
25-3021.00	n/a	n/a	Bridge Instructor
25-3021.00	n/a	n/a	Bridge Teacher
25-3021.00	n/a	n/a	Ceramics Instructor
25-3021.00	n/a	n/a	Ceramics Teacher
25-3021.00	n/a	n/a	Certified Flight Instructor (CFI)
25-3021.00	n/a	n/a	Chef Instructor
25-3021.00	n/a	n/a	Chef Teacher
25-3021.00	n/a	n/a	Childbirth and Infant Care Teacher
25-3021.00	n/a	n/a	Choir Teacher
25-3021.00	n/a	n/a	Choral Teacher
25-3021.00	n/a	n/a	Citizenship Teacher
25-3021.00	n/a	n/a	Civil Preparedness Training Officer
25-3021.00	n/a	n/a	Community Educator
25-3021.00	n/a	n/a	Computer Science Teacher
25-3021.00	n/a	n/a	Computer Technology Instructor
25-3021.00	n/a	n/a	Computer Trainer
25-3021.00	n/a	n/a	Cooking Instructor
25-3021.00	n/a	n/a	Cooking Teacher
25-3021.00	n/a	n/a	CPR Instructor (Cardiopulmonary Resuscitation Instructor)
25-3021.00	n/a	n/a	Culinary Art Teacher
25-3021.00	n/a	n/a	Dance Instructor
25-3021.00	n/a	n/a	Dance Teacher
25-3021.00	n/a	n/a	Dancing Instructor
25-3021.00	n/a	n/a	Dancing Teacher
25-3021.00	n/a	n/a	Defensive Driving Instructor
25-3021.00	n/a	n/a	Diving Instructor
25-3021.00	n/a	n/a	Drama Teacher
25-3021.00	n/a	n/a	Dramatic Coach
25-3021.00	n/a	n/a	Dramatic Teacher
25-3021.00	n/a	n/a	Driver Education Instructor
25-3021.00	n/a	n/a	Driver Education Road Instructor
25-3021.00	n/a	n/a	Driver Trainer
25-3021.00	n/a	n/a	Driver's Education Instructor
25-3021.00	n/a	n/a	Driving Instructor
25-3021.00	n/a	n/a	Driving Teacher
25-3021.00	n/a	n/a	ESL Instructor (English as a Second Language Instructor)
25-3021.00	n/a	n/a	ESL Teacher (English as a Second Language Teacher)
25-3021.00	n/a	n/a	Firearms Instructor
25-3021.00	n/a	n/a	First Aid Instructor
25-3021.00	n/a	n/a	First Aid Teacher
25-3021.00	n/a	n/a	Flight Instructor
25-3021.00	n/a	n/a	Floral Design Teacher
25-3021.00	n/a	n/a	Flute Teacher
25-3021.00	n/a	n/a	Flying Instructor
25-3021.00	n/a	n/a	Flying Teacher
25-3021.00	n/a	n/a	Foreign Language Teacher
25-3021.00	n/a	n/a	Guitar Instructor
25-3021.00	n/a	n/a	Guitar Teacher
25-3021.00	n/a	n/a	Gymnastics Coach
25-3021.00	n/a	n/a	Gymnastics Instructor
25-3021.00	n/a	n/a	Health Teacher
25-3021.00	n/a	n/a	Hebrew Teacher
25-3021.00	n/a	n/a	Hip Hop Dance Instructor
25-3021.00	n/a	n/a	Home Economics Teacher
25-3021.00	n/a	n/a	Horseback Riding Instructor
25-3021.00	n/a	n/a	Information Technology Teacher
25-3021.00	n/a	n/a	Instructor
25-3021.00	n/a	n/a	Instrumental Music Teacher
25-3021.00	n/a	n/a	Judo Instructor
25-3021.00	n/a	n/a	Karate Instructor
25-3021.00	n/a	n/a	Knitting Teacher
25-3021.00	n/a	n/a	Language Instructor
25-3021.00	n/a	n/a	Language Teacher
25-3021.00	n/a	n/a	Life Enrichment Assistant
25-3021.00	n/a	n/a	Martial Arts Instructor
25-3021.00	n/a	n/a	Modeling Instructor
25-3021.00	n/a	n/a	Music Director
25-3021.00	n/a	n/a	Music Educator
25-3021.00	n/a	n/a	Music Instructor
25-3021.00	n/a	n/a	Music Teacher
25-3021.00	n/a	n/a	Navigation Teacher
25-3021.00	n/a	n/a	Organ Teacher
25-3021.00	n/a	n/a	Organic Gardening Teacher
25-3021.00	n/a	n/a	Parent Educator
25-3021.00	n/a	n/a	Personal Finance Instructor
25-3021.00	n/a	n/a	Photography Instructor
25-3021.00	n/a	n/a	Piano Instructor
25-3021.00	n/a	n/a	Piano Teacher
25-3021.00	n/a	n/a	Pilot Teacher
25-3021.00	n/a	n/a	Prenatal Teacher
25-3021.00	n/a	n/a	Professor
25-3021.00	n/a	n/a	Public Speaking Teacher
25-3021.00	n/a	n/a	Rescue Instructor
25-3021.00	n/a	n/a	Riding Instructor
25-3021.00	n/a	n/a	Russian Language Instructor
25-3021.00	n/a	n/a	Safety Teacher
25-3021.00	n/a	n/a	Sailing Instructor
25-3021.00	n/a	n/a	Scuba Dive Training Instructor
25-3021.00	n/a	n/a	Scuba Diving Instructor
25-3021.00	n/a	n/a	Scuba Instructor
25-3021.00	n/a	n/a	Sewing Teacher
25-3021.00	n/a	n/a	Sign Language Teacher
25-3021.00	n/a	n/a	Singing Teacher
25-3021.00	n/a	n/a	Ski Instructer
25-3021.00	n/a	n/a	Skiing Instructor
25-3021.00	n/a	n/a	Snowboard Instructor
25-3021.00	n/a	n/a	Speech Teacher
25-3021.00	n/a	n/a	Speed Reading Teacher
25-3021.00	n/a	n/a	Student Driving Instructor
25-3021.00	n/a	n/a	Swimming Instructor
25-3021.00	n/a	n/a	Teacher
25-3021.00	n/a	n/a	Tennis Camp Instructor
25-3021.00	n/a	n/a	Theater Education Teacher
25-3021.00	n/a	n/a	Theater Teacher
25-3021.00	n/a	n/a	Therapeutic Riding Instructor
25-3021.00	n/a	n/a	Typing Teacher
25-3021.00	n/a	n/a	Ukrainian Folk Arts Instructor
25-3021.00	n/a	n/a	Violin Teacher
25-3021.00	n/a	n/a	Violin Tutor
25-3021.00	n/a	n/a	Vocal Teacher
25-3021.00	n/a	n/a	Voice Coach
25-3021.00	n/a	n/a	Voice Instructor
25-3021.00	n/a	n/a	Voice Teacher
25-3021.00	n/a	n/a	Water Safety Teacher
25-3021.00	n/a	n/a	Weaving Teacher
25-3021.00	n/a	n/a	Yoga Teacher
25-3021.00	n/a	n/a	Ballet Teacher
25-3021.00	n/a	n/a	Ceramics Instructor
25-3021.00	n/a	n/a	Dance Instructor
25-3021.00	n/a	n/a	Driving Instructor
25-3021.00	n/a	n/a	Flute Teacher
25-3021.00	n/a	n/a	Gymnastics Instructor
25-3021.00	n/a	n/a	Martial Arts Instructor
25-3021.00	n/a	n/a	Piano Teacher
25-3021.00	n/a	n/a	Scuba Diving Instructor
25-3021.00	n/a	n/a	Swimming Instructor
25-3099.00	Teachers and Instructors, All Other	All teachers and instructors not listed separately.	n/a
25-3099.00	n/a	n/a	Autism Tutor
25-3099.00	n/a	n/a	Bilingual Instructor
25-3099.00	n/a	n/a	Bilingual Trainer
25-3099.00	n/a	n/a	Consumer Education Specialist
25-3099.00	n/a	n/a	Environmental Educator
25-3099.00	n/a	n/a	Extension Work Instructor
25-3099.00	n/a	n/a	Human Resource Managment Instructor
25-3099.00	n/a	n/a	Lecturer
25-3099.00	n/a	n/a	Link Trainer Operator
25-3099.00	n/a	n/a	Special Education Preschool Teacher
25-3099.00	n/a	n/a	Special Education Teacher for Adults with Disabilities
25-3099.00	n/a	n/a	Substitute Teacher
25-3099.00	n/a	n/a	Tutor
25-3099.00	n/a	n/a	Visiting Teacher
25-3099.02	Tutors	Provide non-classroom, academic instruction to students on an individual or small-group basis for proactive or remedial purposes.	n/a
25-3099.02	n/a	n/a	Academic Guidance Specialist
25-3099.02	n/a	n/a	Academic Tutor
25-3099.02	n/a	n/a	Accounting/Finance Tutor
25-3099.02	n/a	n/a	ACT Tutor
25-3099.02	n/a	n/a	Adult Basic Education Instructor
25-3099.02	n/a	n/a	After School Tutor
25-3099.02	n/a	n/a	Biology Tutor
25-3099.02	n/a	n/a	Center Director
25-3099.02	n/a	n/a	Chemistry Tutor
25-3099.02	n/a	n/a	Children's Tutor
25-3099.02	n/a	n/a	College Tutor
25-3099.02	n/a	n/a	Computing Tutor
25-3099.02	n/a	n/a	Corporate Tutor
25-3099.02	n/a	n/a	Director of Academic Support
25-3099.02	n/a	n/a	Educational Advisor
25-3099.02	n/a	n/a	Elementary Education Tutor
25-3099.02	n/a	n/a	Elementary School Tutor
25-3099.02	n/a	n/a	English Language Learner Tutor (ELL Tutor)
25-3099.02	n/a	n/a	English Tutor
25-3099.02	n/a	n/a	ESL Tutor (English as a Second Language Tutor)
25-3099.02	n/a	n/a	Grades 1-6 Tutor
25-3099.02	n/a	n/a	Grades 7-8 Tutor
25-3099.02	n/a	n/a	Grades 9-12 Tutor
25-3099.02	n/a	n/a	High School Tutor
25-3099.02	n/a	n/a	History Tutor
25-3099.02	n/a	n/a	In-classroom Tutor
25-3099.02	n/a	n/a	In-home Tutor
25-3099.02	n/a	n/a	Learning Center Instructor
25-3099.02	n/a	n/a	Learning Services Coordinator
25-3099.02	n/a	n/a	Math Tutor
25-3099.02	n/a	n/a	Nursing Center Tutor
25-3099.02	n/a	n/a	Online Tutor
25-3099.02	n/a	n/a	Peer Tutor
25-3099.02	n/a	n/a	Private Tutor
25-3099.02	n/a	n/a	Professional Tutor
25-3099.02	n/a	n/a	Reading Efficiency Course Director
25-3099.02	n/a	n/a	Reading Tutor
25-3099.02	n/a	n/a	SAT Tutor
25-3099.02	n/a	n/a	Science Tutor
25-3099.02	n/a	n/a	Second Language Tutor
25-3099.02	n/a	n/a	Spanish Tutor
25-3099.02	n/a	n/a	Test Preparation Tutor
25-3099.02	n/a	n/a	Tutor
25-3099.02	n/a	n/a	Tutorial Laboratory Supervisor (Tutorial Lab Supervisor)
25-3099.02	n/a	n/a	Tutoring Assistant
25-3099.02	n/a	n/a	Tutoring Clinician
25-3099.02	n/a	n/a	Writing Tutor
25-3099.02	n/a	n/a	Academic Guidance Specialist
25-3099.02	n/a	n/a	Accounting/Finance Tutor
25-3099.02	n/a	n/a	Adult Basic Education Instructor
25-3099.02	n/a	n/a	Center Director
25-3099.02	n/a	n/a	Director of Academic Support
25-3099.02	n/a	n/a	Educational Advisor
25-3099.02	n/a	n/a	Learning Services Coordinator
25-3099.02	n/a	n/a	Professional Tutor
25-3099.02	n/a	n/a	Reading Efficiency Course Director
25-3099.02	n/a	n/a	Tutorial Laboratory Supervisor (Tutorial Lab Supervisor)
25-4011.00	Archivists	Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials.	n/a
25-4011.00	n/a	n/a	Archival Records Clerk
25-4011.00	n/a	n/a	Archives and Historical Documents Director
25-4011.00	n/a	n/a	Archives and Rare Books Division Curator
25-4011.00	n/a	n/a	Archives Director
25-4011.00	n/a	n/a	Archives Specialist
25-4011.00	n/a	n/a	Archivist
25-4011.00	n/a	n/a	Collections Director
25-4011.00	n/a	n/a	Collections Manager
25-4011.00	n/a	n/a	Curator
25-4011.00	n/a	n/a	Curator of Manuscripts
25-4011.00	n/a	n/a	Curatorial Specialist
25-4011.00	n/a	n/a	Digital Archivist
25-4011.00	n/a	n/a	Director of Archives
25-4011.00	n/a	n/a	Docent
25-4011.00	n/a	n/a	Docent Coordinator
25-4011.00	n/a	n/a	Film Archivist
25-4011.00	n/a	n/a	Historical Manuscripts Curator
25-4011.00	n/a	n/a	Historical Records Administrator
25-4011.00	n/a	n/a	Image Archivist
25-4011.00	n/a	n/a	Librarian
